127.0.0.1 - - [21/Apr/2017:09:49:24 +0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Apr/2017:09:49:25 +0300] "GET /SecondWeb/ HTTP/1.1" 500 4543
0:0:0:0:0:0:0:1 - - [21/Apr/2017:09:49:30 +0300] "GET /SecondWeb/controller?command=subscriptionlist HTTP/1.1" 500 3737
0:0:0:0:0:0:0:1 - - [21/Apr/2017:09:49:35 +0300] "GET /SecondWeb/controller?command=subscriptionlist HTTP/1.1" 500 6293
0:0:0:0:0:0:0:1 - - [21/Apr/2017:09:49:38 +0300] "GET /SecondWeb/controller?command=subscriptionupdate&name=SomNhfyficeName&prevname=SomNiceName&price=104345.0 HTTP/1.1" 500 4781
0:0:0:0:0:0:0:1 - - [21/Apr/2017:09:50:23 +0300] "GET /SecondWeb/controller?command=subscriptionupdate&name=SomNhfyficeName&prevname=SomNiceName&price=104345.0 HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [21/Apr/2017:09:50:35 +0300] "POST /SecondWeb/controller?command=login HTTP/1.1" 200 3193
0:0:0:0:0:0:0:1 - - [21/Apr/2017:09:51:40 +0300] "POST /SecondWeb/controller?command=login HTTP/1.1" 200 3235
0:0:0:0:0:0:0:1 - - [21/Apr/2017:09:51:59 +0300] "POST /SecondWeb/controller?command=login HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [21/Apr/2017:09:52:04 +0300] "GET /SecondWeb/controller?command=locale_change&locale=ru_ru HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:13 +0300] "GET /SecondWeb/controller?command=user_management HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:20 +0300] "GET /SecondWeb/controller?command=locale_change&locale=ru_ru HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:22 +0300] "GET /SecondWeb/controller?command=logout HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:24 +0300] "GET /SecondWeb/pages/login.jsp HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:30 +0300] "POST /SecondWeb/controller?command=login HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:32 +0300] "GET /SecondWeb/controller?command=user_management HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:39 +0300] "GET /SecondWeb/controller?command=unblock_user_subscription&username=sfsdfsdf&subname=SomNiceNameffffff HTTP/1.1" 200 7550
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:49 +0300] "GET /SecondWeb/controller?command=block_user_subscription&username=sfsdfsdf&subname=SomNiceNameffffff HTTP/1.1" 200 7549
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:54 +0300] "GET /SecondWeb/controller?command=unblock_user_subscription&username=sfsdfsdf&subname=SomNiceNameffffff HTTP/1.1" 200 7550
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:23:58 +0300] "GET /SecondWeb/pages/adminMain.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:24:02 +0300] "GET /SecondWeb/controller?command=subscription_list HTTP/1.1" 200 5343
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:24:08 +0300] "GET /SecondWeb/pages/adminMain.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:24:10 +0300] "GET /SecondWeb/controller?command=user_management HTTP/1.1" 200 7416
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:25:41 +0300] "GET /SecondWeb/controller?command=user_management HTTP/1.1" 200 7422
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:37:07 +0300] "GET /SecondWeb/controller?command=user_management HTTP/1.1" 200 7422
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:37:13 +0300] "GET /SecondWeb/pages/adminMain.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:37:15 +0300] "GET /SecondWeb/controller?command=subscription_list HTTP/1.1" 200 5367
